"","Ptagis_ID","Year","Sample_Year","parr_ha","prec_parr_ha"
"1","BEARVC",2000,2001,150.092379192777,0.961704910465273
"2","ELKC",2000,2001,70.6026239715366,0
"3","HERDC",2000,2001,315.076021249313,6.6972828166858
"4","SALRSF",2000,2001,447.754948319873,0.310945273631841
"5","SECESR",2000,2001,215.095465393795,0.236568806037236
"6","VALEYC",2000,2001,246.534519347993,4.96759237356295
"7","BEARVC",2001,2002,408.532245965648,0.381010439686047
"8","BIG2C",2001,2002,223.281102049543,0
"9","CHAMWF",2001,2002,6315.21739130435,0
"10","ELKC",2001,2002,554.596671768652,0.660763843002511
"11","HERDC",2001,2002,167.432070417145,0
"12","LAKEC",2001,2002,466.487118247878,1.42186833499218
"13","MARSHC",2001,2002,367.569249922191,0
"14","SALRSF",2001,2002,567.786069651741,1.9723865877712
"15","SECESR",2001,2002,472.901043268435,0.796527141662352
"16","VALEYC",2001,2002,404.267398400908,1.58900409168554
"17","BEARVC",2002,2003,427.112702888059,4.83091787439614
"18","BIG2C",2002,2003,283.204603967893,0
"19","BIGC",2002,2003,506.977974733779,3.65682137834037
"20","CAMASC",2002,2003,577.328276443321,0.548757065247215
"21","CAPEHC",2002,2003,874.917925147735,7.11743772241993
"22","CHAMBC",2002,2003,362.962962962963,5.56483027267668
"23","CHAMWF",2002,2003,6664.0625,11.1111111111111
"24","ELKC",2002,2003,660.103079159508,0.48878244293465
"25","HERDC",2002,2003,276.057096687315,0
"26","LAKEC",2002,2003,592.445139580075,0.902527075812274
"27","LOONC",2002,2003,293.895013987165,0
"28","MARSHC",2002,2003,994.942528735632,0
"29","SALRSF",2002,2003,1754.43786982249,0.782533844588778
"30","SECESR",2002,2003,680.234178979649,0.727960981291403
"31","SULFUC",2002,2003,345.923049770561,42.8571428571429
"32","VALEYC",2002,2003,643.348031621181,4.2870616479465
"33","BEARVC",2003,2004,9574.87922705314,0.58343057176196
"34","BIG2C",2003,2004,615.094339622642,0
"35","BIGC",2003,2004,563.994374120956,5.63063063063063
"36","CAMASC",2003,2004,698.018986994458,0
"37","CAPEHC",2003,2004,808.540925266904,8.15926892950392
"38","CHAMBC",2003,2004,962.715637173066,0.993245927691697
"39","CHAMWF",2003,2004,2246.66666666667,12.8205128205128
"40","ELKC",2003,2004,888.606481255193,3.86548125241593
"41","HERDC",2003,2004,868.246171626697,1.79396331345024
"42","LAKEC",2003,2004,462.545126353791,1.24786822511543
"43","LOONC",2003,2004,720.806251369313,0
"44","MARSHC",2003,2004,1652.53438854343,6.64451827242525
"45","SALRSF",2003,2004,680.282755562511,5.22169500760551
"46","SECESR",2003,2004,414.452452015239,1.22588079535146
"47","SULFUC",2003,2004,8350,24.1758241758242
"48","VALEYC",2003,2004,903.426791277259,6.01426239367643
"49","BEARVC",2004,2005,1476.66277712952,6.2061521856449
"50","BIG2C",2004,2005,273.517691100109,0
"51","BIGC",2004,2005,725.949163449163,7.33227422705609
"52","CAMASC",2004,2005,545.284069266606,0.467989517034818
"53","CAPEHC",2004,2005,822.780678851175,9.78952520802741
"54","CHAMWF",2004,2005,3330.12820512821,0
"55","ELKC",2004,2005,1217.62659451102,20.7788725785911
"56","HERDC",2004,2005,852.581064717226,10.588831085125
"57","LAKEC",2004,2005,415.956075038476,0.928850083596508
"58","LOONC",2004,2005,592.204148435151,0
"59","MARSHC",2004,2005,7232.55813953488,1.87906347476418
"60","SALRSF",2004,2005,645.673939201308,1.18221941992434
"61","SECESR",2004,2005,391.791502194327,0.32796562920206
"62","SULFUC",2004,2005,4729.67032967033,21.9335245486755
"63","VALEYC",2004,2005,1933.58535956697,11.7537144751514
"64","BEARVC",2005,2006,339.17970858068,0.968179177693152
"65","BIG2C",2005,2006,291.493158834027,0
"66","BIGC",2005,2006,417.532282374027,4.27110861963108
"67","CAMASC",2005,2006,342.100336952452,0
"68","CAPEHC",2005,2006,240.659161364007,2.37304224015187
"69","CHAMWF",2005,2006,8660.86956521739,30.7692307692308
"70","ELKC",2005,2006,756.753133588042,0.671614224789281
"71","HERDC",2005,2006,369.688320058929,1.08778418361797
"72","LAKEC",2005,2006,493.219394389745,5.35937593044721
