"Project","Year","Dates","spr_adult","spr_jack","su_adult","su_jack","adult_jack"
"Lower Granite",1976," 3/1 - 6/17",17639,0,8576,0,4.41856642837432
"Lower Granite",1977," 3/1 - 6/17",20475,0,9894,0,4.48244479191827
"Lower Granite",1978," 3/1 - 6/17",38770,0,8429,0,4.67394199863409
"Lower Granite",1979," 3/1 - 6/17",41006,0,11755,0,4.72232124958284
"Lower Granite",1980," 3/1 - 6/17",7539,0,3572,0,4.04579223272956
"Lower Granite",1981," 3/1 - 6/17",5460,1298,2688,759,0.597658947377622
"Lower Granite",1982," 3/1 - 6/17",13115,527,3326,479,1.21292517331551
"Lower Granite",1983," 3/1 - 6/17",12367,379,4210,318,1.37567671267699
"Lower Granite",1984," 3/1 - 6/17",9517,509,3895,767,1.02133502732428
"Lower Granite",1985," 3/1 - 6/17",6511,1410,5429,1815,0.568376335289518
"Lower Granite",1986," 3/1 - 6/17",25207,2530,5062,1577,0.867381986031332
"Lower Granite",1987," 3/1 - 6/17",31722,1307,6154,1255,1.16962696776259
"Lower Granite",1988," 3/1 - 6/17",28835,946,5891,660,1.3346513902871
"Lower Granite",1989," 3/1 - 6/17",29495,924,6145,362,1.44237133388102
"Lower Granite",1990," 3/1 - 6/17",12955,1549,3169,902,0.817979257460928
"Lower Granite",1991," 3/1 - 6/17",17315,234,5093,128,1.7905158515716
"Lower Granite",1992," 3/1 - 6/17",6623,980,3809,1179,0.683955456231138
"Lower Granite",1993," 3/1 - 6/17",21391,533,3014,298,1.46737328064484
"Lower Granite",1994," 3/1 - 6/17",20397,183,7889,130,1.95465724238369
"Lower Granite",1995," 3/1 - 6/17",3120,43,795,73,1.52465682138494
"Lower Granite",1996," 3/1 - 6/17",1105,373,692,157,0.529695166315741
"Lower Granite",1997," 3/1 - 6/17",4207,1639,2607,944,0.421173350847646
"Lower Granite",1998," 3/1 - 6/17",33855,81,10709,127,2.32884762474829
"Lower Granite",1999," 3/1 - 6/17",9854,109,4355,328,1.51111996742337
"Lower Granite",2000," 3/1 - 6/17",3296,2507,3260,1584,0.204769558626393
"Lower Granite",2001," 3/1 - 6/17",33822,10318,3939,3756,0.428606584379176
"Lower Granite",2002," 3/1 - 6/17",171958,3135,13735,3804,1.42743840092634
"Lower Granite",2003," 3/1 - 6/17",75025,2089,22159,1953,1.38089549766733
"Lower Granite",2004," 3/1 - 6/17",70609,8295,16422,4137,0.845103030098099
"Lower Granite",2005," 3/1 - 6/17",70742,4482,8767,2510,1.0557582252175
"Lower Granite",2006," 3/1 - 6/17",26028,1258,6736,1078,1.14675145989993
"Lower Granite",2007," 3/1 - 6/17",22530,973,7058,662,1.25734698850797
"Lower Granite",2008," 3/1 - 6/17",22484,8971,7703,3393,0.387640220622044
"Lower Granite",2009," 3/1 - 6/17",50146,10946,22612,5072,0.657251320103443
"Lower Granite",2010," 3/1 - 6/17",49667,31064,14482,16367,0.13112522337404
"Lower Granite",2011," 3/1 - 6/17",94203,6409,28778,5294,1.02150723838127
"Lower Granite",2012," 3/1 - 6/17",59342,22063,36764,16425,0.397418393228855
"Lower Granite",2013," 3/1 - 6/17",66366,3525,13163,1717,1.18095112473903
"Lower Granite",2014," 3/1 - 6/17",35031,19940,8423,7572,0.198501806094029
"Lower Granite",2015," 3/1 - 6/17",79167,13732,14668,7106,0.65349261192568
"Lower Granite",2016," 3/1 - 6/17",104873,8379,14958,4222,0.978133332487608
"Lower Granite",2017," 3/1 - 6/17",62050,5480,12110,2113,0.989704984475513
"Lower Granite",2018," 3/1 - 6/17",27357,8256,8952,3627,0.485063605781266
"Lower Granite",2019," 3/1 - 6/17",31161,2948,7304,819,1.00896613314654
"Lower Granite",2020," 3/1 - 6/17",19155,3870,4461,2131,0.59492873850564
"Lower Granite",2021," 3/1 - 6/17",23380,2631,6749,2026,0.810799647474695
"Lower Granite",2022," 3/1 - 6/17",29634,7264,5680,4673,0.471027636031531
"Lower Granite",2023," 3/1 - 6/17",57912,8329,20477,5565,0.751402113333597
"Lower Granite",2024," 3/1 - 6/17",43253,6564,10319,3232,0.737852858782538
"Lower Granite",2025," 3/1 - 6/17",45222,7146,11550,3204,0.739159535243975
