"Sample_ID","Entosphenus tridentatus","Ptychocheilus oregonensis","Rhinichthys spp","Richardsonius balteatus","Catostomus spp","Prosopium williamsoni","Salvelinus fontinalis","Salvelinus confluentus","Oncorhynchus clarkii","Oncorhynchus mykiss","Unidentified Fry","Oncorhynchus tshawytscha","Cottus spp","Dicamptodon aterrimus"
"BL-1992",0,0,64,0,0,2,0,0,5,921,0,287,194,0
"BL-1993",0,0,75,0,25,2,0,0,7,663,0,193,184,0
"BL-2001",0,0,86,0,0,6,0,0,3,451,645,432,256,0
"BL-2002",0,0,90,0,47,1,0,0,4,83,839,748,93,0
"BL-2003",0,0,114,0,25,2,0,2,5,199,408,943,100,0
"BL-2004",0,0,329,0,16,0,0,0,9,145,733,393,34,0
"BL-2005",0,0,263,0,35,6,0,0,0,211,1334,841,276,0
"BL-2006",0,0,334,0,131,31,0,2,15,184,925,1170,943,0
"BL-2007",0,0,116,0,29,4,0,2,9,246,475,268,397,0
"BL-2008",0,0,485,0,154,27,0,2,0,159,641,912,594,0
"BL-2009",0,0,390,0,108,48,0,1,31,204,1189,1588,864,0
"BL-2010",0,0,87,0,11,17,0,2,0,510,1091,1488,346,0
"BL-2011",0,0,58,0,13,0,0,3,0,151,792,1643,352,0
"BL-2012",0,0,58,0,4,2,0,2,1,130,1073,1150,297,0
"BL-2013",0,0,91,0,31,0,2,0,0,471,325,1060,253,0
"BL-2014",0,0,90,0,106,2,0,0,3,215,795,1052,184,0
"BL-2015",0,0,447,0,147,1,0,0,0,369,1694,1222,214,0
"BL-2016",0,0,77,0,251,0,0,0,7,392,1188,923,131,0
"BL-2017",0,0,246,0,177,0,0,2,8,152,1052,959,201,0
"BL-2018",0,0,44,0,35,0,0,1,6,137,414,114,129,0
"BL-2019",0,0,176,0,44,0,0,0,5,67,505,201,146,0
"BU-1992",0,0,3,0,0,5,371,0,0,519,0,464,870,0
"BU-1993",0,0,1,0,0,1,364,1,0,503,0,559,952,0
"BU-1994",0,0,0,0,0,1,151,4,0,233,0,862,1862,0
"BU-1998",0,0,0,0,0,0,473,2,0,170,9,993,1677,0
"BU-1999",0,0,0,0,0,0,307,8,0,19,52,864,915,0
"BU-2002",0,0,0,0,0,1,141,5,2,65,356,1533,1442,0
"BU-2003",0,0,3,0,0,0,167,9,1,142,698,1933,2844,0
"BU-2004",0,0,0,0,0,0,83,7,0,195,395,1801,2049,0
"BU-2005",0,0,1,0,0,0,435,4,0,203,823,1917,6292,0
"BU-2006",0,0,0,0,0,4,565,0,1,121,374,1163,1581,0
"BU-2007",0,0,0,0,0,1,315,15,0,405,322,647,1459,0
"BU-2008",0,0,0,0,0,0,280,13,1,265,610,1024,2372,0
"BU-2009",0,0,0,0,0,0,417,10,0,267,471,1701,2045,0
"BU-2010",0,0,0,0,0,1,342,23,1,437,261,1918,2843,0
"BU-2011",0,0,0,0,0,2,677,8,5,273,420,2094,1531,0
"BU-2012",0,0,0,0,0,0,259,7,5,312,195,2142,1789,0
"BU-2013",0,0,0,0,0,0,227,5,0,198,510,1368,1353,0
"BU-2014",0,0,0,0,0,0,311,8,1,316,255,1167,1675,0
