Sample_ID,Sample Site,Code,Year,Area_m2,Method
BL-1992,Big Creek (lower),BL,1992,NA,Shock
BL-1993,Big Creek (lower),BL,1993,NA,Shock
BL-2001,Big Creek (lower),BL,2001,NA,Shock
BL-2002,Big Creek (lower),BL,2002,26412,Shock
BL-2003,Big Creek (lower),BL,2003,21200,Shock
BL-2004,Big Creek (lower),BL,2004,16562,Shock
BL-2005,Big Creek (lower),BL,2005,35301,Shock
BL-2006,Big Creek (lower),BL,2006,56854,Shock
BL-2007,Big Creek (lower),BL,2007,29164,Shock
BL-2008,Big Creek (lower),BL,2008,42776,Shock
BL-2009,Big Creek (lower),BL,2009,47617,Shock
BL-2010,Big Creek (lower),BL,2010,39058,Shock
BL-2011,Big Creek (lower),BL,2011,33465,Shock
BL-2012,Big Creek (lower),BL,2012,26224,Shock
BL-2013,Big Creek (lower),BL,2013,29210,Shock
BL-2014,Big Creek (lower),BL,2014,40157,Shock
BL-2015,Big Creek (lower),BL,2015,36894,Shock
BL-2016,Big Creek (lower),BL,2016,46873,Shock
BL-2017,Big Creek (lower),BL,2017,43666,Shock
BL-2018,Big Creek (lower),BL,2018,17485,Shock
BL-2019,Big Creek (lower),BL,2019,17741,Shock
BU-1992,Big Creek (upper),BU,1992,NA,Shock
BU-1993,Big Creek (upper),BU,1993,NA,Shock
BU-1994,Big Creek (upper),BU,1994,NA,Both
BU-1998,Big Creek (upper),BU,1998,NA,Shock
BU-1999,Big Creek (upper),BU,1999,NA,Shock
BU-2002,Big Creek (upper),BU,2002,30238,Both
BU-2003,Big Creek (upper),BU,2003,35550,Shock
BU-2004,Big Creek (upper),BU,2004,24864,Both
BU-2005,Big Creek (upper),BU,2005,49098,Shock
BU-2006,Big Creek (upper),BU,2006,37461,Shock
BU-2007,Big Creek (upper),BU,2007,32862,Shock
BU-2008,Big Creek (upper),BU,2008,40340,Shock
BU-2009,Big Creek (upper),BU,2009,37670,Shock
BU-2010,Big Creek (upper),BU,2010,35278,Shock
BU-2011,Big Creek (upper),BU,2011,44144,Shock
BU-2012,Big Creek (upper),BU,2012,32154,Shock
BU-2013,Big Creek (upper),BU,2013,37801,Shock
BU-2014,Big Creek (upper),BU,2014,31916,Shock
BU-2015,Big Creek (upper),BU,2015,31820,Shock
BU-2016,Big Creek (upper),BU,2016,23968,Shock
BU-2017,Big Creek (upper),BU,2017,31224,Both
BU-2018,Big Creek (upper),BU,2018,22118,Shock
BU-2019,Big Creek (upper),BU,2019,28520,Shock
BU-2021,Big Creek (upper),BU,2021,21547,Shock
BV-1992,Bear Valley Creek,BV,1992,NA,Shock
BV-1993,Bear Valley Creek,BV,1993,NA,Shock
BV-1994,Bear Valley Creek,BV,1994,NA,Both
BV-1997,Bear Valley Creek,BV,1997,NA,Shock
BV-1998,Bear Valley Creek,BV,1998,NA,Shock
BV-1999,Bear Valley Creek,BV,1999,NA,Shock
BV-2000,Bear Valley Creek,BV,2000,NA,Shock
BV-2001,Bear Valley Creek,BV,2001,51991,Shock
BV-2002,Bear Valley Creek,BV,2002,26246,Both
BV-2003,Bear Valley Creek,BV,2003,2070,Seine
BV-2004,Bear Valley Creek,BV,2004,17140,Both
BV-2005,Bear Valley Creek,BV,2005,37060,Shock
BV-2006,Bear Valley Creek,BV,2006,30986,Shock
BV-2007,Bear Valley Creek,BV,2007,43918,Shock
BV-2008,Bear Valley Creek,BV,2008,17200,Shock
BV-2009,Bear Valley Creek,BV,2009,21835,Shock
BV-2010,Bear Valley Creek,BV,2010,34816,Shock
BV-2011,Bear Valley Creek,BV,2011,17857,Shock
BV-2012,Bear Valley Creek,BV,2012,24430,Shock
BV-2013,Bear Valley Creek,BV,2013,25285,Shock
BV-2014,Bear Valley Creek,BV,2014,29408,Shock
BV-2015,Bear Valley Creek,BV,2015,39320,Shock
BV-2016,Bear Valley Creek,BV,2016,44204,Shock
BV-2017,Bear Valley Creek,BV,2017,32924,Shock
BV-2018,Bear Valley Creek,BV,2018,24759,Shock
BV-2019,Bear Valley Creek,BV,2019,34147,Shock
BV-2021,Bear Valley Creek,BV,2021,35661,Shock
