"Ptagis_ID","Year","Q05","Q25","Q50","Q75","Q95","Mean"
"BEARVC",2016,0.042144318,1.454204558,5.619423253,10.60533747,14.61330639,6.270299993
"BEARVC",2020,0,0.89237515,3.751771595,10.03648126,15.05760301,5.682739117
"BEARVC",2017,0,1.339482828,4.88485262,9.815006271,15.34357247,5.929860508
"BEARVC",2018,0.069982195,1.154785054,4.229641874,10.8933494,15.63854888,5.914694373
"BEARVC",2015,0.267217551,2.012315158,5.322928045,11.77423775,15.27789808,6.788420403
"BEARVC",1999,0,0.846495528,4.011697672,8.861826528,14.1692595,5.199191461
"BEARVC",2000,0,1.25142734,5.378418232,9.985519547,15.18429272,6.033585206
"BEARVC",2001,0,0.519430774,4.866185862,11.59923084,15.7626994,6.264860806
"BEARVC",2019,0,0.701746218,4.45860187,10.63204944,14.62041092,5.754341093
"BEARVC",2003,0.365439972,1.258430381,4.089197409,10.37280191,16.10992502,5.970345345
"BEARVC",2004,0,0.880597038,5.904267836,10.22403039,15.28358079,6.062264529
"BEARVC",2021,0,0.603450412,4.540028564,11.91791589,16.17450349,6.205831922
"BEARVC",2002,0,0.692758319,4.508644082,10.72740686,15.38916593,5.90624441
"BEARVC",1998,0,0.842026559,4.035906419,9.606778619,15.50222117,5.702591566
"BEARVC",2014,0,1.304413191,4.341420139,10.60544478,15.41506791,5.800676483
"BEARVC",2013,0,1.203996485,3.992416963,10.77484997,15.44686523,6.104406571
"BEARVC",2024,NA,NA,NA,NA,NA,NA
"BEARVC",1992,0,1.237539305,5.338278059,10.61240653,14.76772733,6.170908839
"BEARVC",2022,NA,NA,NA,NA,NA,NA
"BEARVC",2023,NA,NA,NA,NA,NA,NA
"BEARVC",2012,0.111284436,0.783911104,4.304543754,10.70006044,15.41255949,5.732964607
"BEARVC",1996,0.028595171,1.852753195,4.074892328,7.691111762,14.36052551,5.298638556
"BEARVC",1997,0,0.633284657,3.386222344,9.394188741,13.63436848,5.148963703
"BEARVC",2011,0,0.965411489,3.406797769,10.27324428,14.19444679,5.40639816
"BEARVC",1994,0,0.903288585,5.088988484,11.23086573,15.82661921,6.211946502
"BEARVC",1995,0,1.082598957,3.824075382,8.866752917,13.35109115,5.166857694
"BEARVC",2005,0.004749696,1.743829414,4.536282022,9.809916208,15.14144497,6.044133352
"BEARVC",1993,0,0.642594958,4.289154594,8.987047675,12.38136508,5.073344368
"BEARVC",2006,0,0.841594695,4.535537764,9.982629129,15.41543177,5.870266186
"BEARVC",2007,0,1.225665153,4.595258264,11.69515696,17.01449768,6.590340561
"BEARVC",2009,0,1.234960303,4.28851904,11.37991546,14.7379537,5.918531617
"BEARVC",2010,0.003543945,1.08817641,4.008513805,9.802581649,14.54500789,5.395267759
"BEARVC",2008,0,1.025936931,4.282643921,10.05496877,14.72101775,5.462380518
"BIG2C",1999,0.815884492,1.575865386,4.528050806,9.22425954,14.76394268,5.780556721
"BIG2C",2000,0.745927097,2.000931391,5.521335368,9.838971304,15.49360341,6.554507276
"BIG2C",2001,0.520148378,1.492544041,4.894702388,11.96835643,15.99197499,6.741686352
"BIG2C",2002,0.574021092,1.537666951,5.051725868,11.24161053,15.5360825,6.582035075
"BIG2C",2003,0.95208099,2.022597067,4.866742149,11.06688685,16.42375166,6.62642526
"BIG2C",2004,0.813833819,1.701248341,5.937418302,10.85774916,15.47974818,6.608521985
"BIG2C",2005,0.865657533,2.308583009,5.403655816,10.26779438,15.70812789,6.708849467
