txt,csv
FILE TITLE,FILE TITLE
TAG DATE,EVENT DATE
TAGGER,TAGGER
SPECIES,SPECIES
HATCHERY SITE,HATCHERY SITE
RUN,RUN
STOCK,STOCK
REARING TYPE,REARING TYPE
BROOD YR,BROOD YEAR
MIGRATORY YR,MIGRATION YEAR
TAG SITE,EVENT SITE
RACEWAY/TRANSECT,RACEWAY/TRANSECT
CAPTURE METHOD,CAPTURE METHOD
RELEASE TEMP,RELEASE TEMP
TAGGING TEMP,MARK TEMP
POST TAGGING TEMP,HOLD TEMP
TAGGING METHOD,MARK METHOD
COMMENTS,SESSION NOTE
ORGANIZATION,ORGANIZATION
COORDINATOR ID,PROJECT CODE
RELEASE DATE,RELEASE DATE
RELEASE SITE,RELEASE SITE
CLOSE DATE,CLOSE DATE
RKM MASK,RKM MASK
RKM EXT,RKM EXT
