year,BEARVC,BIG2C,BIGC,CAMASC,CAPEHC,CHAMBC,CHAMWF,ELKC,HERDC,LAKEC,LOONC,MARSHC,RUSHC,SALREF,SALRSF,SECESR,SULFUC,VALEYC
1992,38993,43652,30000,24000,5355,NA,920,30707,15678,59037,20000,32130,NA,56000,64320,84542,38556,42274
1993,58490,43652,50000,32000,NA,NA,920,40943,26130,59037,30000,32130,NA,56000,64320,84542,NA,84548
1994,32494,43652,30000,24000,2677,NA,920,20471,10452,39358,20000,32130,NA,24000,80400,63406,19278,21137
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,19679,NA,NA,NA,NA,96480,84542,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,98395,NA,NA,NA,NA,80400,126813,NA,NA
1997,32494,NA,NA,NA,NA,NA,NA,20471,NA,39358,NA,NA,NA,NA,48240,84542,NA,NA
1998,19497,32739,30000,NA,10710,NA,NA,20471,20904,19679,20000,32130,NA,NA,32160,42271,28917,73979
1999,25995,43652,50000,16000,16065,NA,NA,15353,10452,19679,20000,21420,NA,16000,32160,63406,19278,42274
2000,52501,NA,NA,NA,NA,NA,NA,17988,10918,NA,NA,NA,NA,NA,23897,33520,NA,44294
2001,51991,32739,NA,NA,NA,NA,920,30707,10452,19679,NA,32130,3600,NA,32160,42271,NA,42274
2002,26246,26412,30238,21357,12184,1350,1280,15134,29704,21099,30385,10875,NA,NA,10140,25109,16998,50346
2003,2070,21200,35550,18223,21075,3594,4500,20459,13844,22160,13693,10614,1600,NA,38337,41211,1400,34989
2004,17140,16562,24864,34129,30640,10068,3120,18109,22297,24041,29939,3010,NA,NA,44047,40787,4550,23278
2005,37060,35301,49098,21368,12258,NA,1150,14919,21721,10766,18392,26609,NA,NA,25376,30491,23708,66362
2006,30986,56854,37461,12898,16856,3219,650,29779,9193,16793,NA,NA,NA,NA,NA,36422,NA,68864
2007,43918,29164,32862,22602,15825,NA,NA,16262,21418,12988,24647,17158,NA,NA,NA,NA,34915,82950
2008,17200,42776,40340,26288,NA,10849,3430,7980,NA,20841,30009,15694,NA,NA,18156,21769,24403,80527
2009,21835,47617,37670,16698,30241,13731,1950,28358,15927,10235,22198,28420,NA,NA,24358,36324,37489,49382
2010,34816,39058,35278,14813,7991,16265,1100,34116,16612,16563,27961,36959,NA,NA,24693,33803,29100,50379
2011,17857,33465,44144,NA,NA,11714,2650,25562,15401,19529,26338,24445,NA,NA,18488,38080,29369,60359
2012,24430,26224,32154,7115,NA,12186,3500,20012,14314,20132,32471,NA,NA,NA,27130,29323,26439,56776
2013,25285,29210,37801,12006,33996,7292,5000,20872,15660,14762,18139,15772,NA,NA,21480,26777,NA,34897
2014,29408,40157,31916,15600,15393,13488,5700,22100,11345,20093,12902,16230,NA,NA,10220,32878,16011,27159
2015,39320,36894,31820,16333,14696,18493,5400,28154,24180,18759,22225,24280,NA,NA,18390,34165,25268,25618
2016,44204,46873,23968,10744,18572,26414,12100,20794,24816,21015,22301,28732,NA,NA,34275,27312,36869,37662
2017,32924,43666,31224,NA,19195,NA,NA,28510,18194,15422,13322,25220,NA,NA,26848,33026,NA,37850
2018,24759,17485,22118,NA,NA,17225,NA,15567,16471,21229,NA,NA,NA,NA,19444,29600,NA,28337
2019,34147,17741,28520,11684,13364,18394,14554,14888,8531,20254,13271,22559,NA,NA,28595,16662,15861,35262
2020,,,,,,,,,,,,,,,,,,
2021,35661,NA,21547,NA,16746,6806,NA,12742,NA,20481,9368,16995,NA,NA,35067,14370,NA,16406
2022,29231,NA,NA,NA,18235,NA,NA,17170,NA,NA,NA,25788,NA,NA,119577,NA,NA,NA
2023,15903,NA,NA,NA,3225,NA,NA,14960,NA,31846,NA,28420,NA,NA,39725,15040,NA,NA
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44712,NA,NA,38300,NA,NA,NA
2025,NA,NA,NA,NA,13291,55470,10814,NA,NA,24931,NA,36840,NA,NA,45416,37844,NA,NA
