"Ptagis_ID","Year","Method"
"BEARVC",1992,"Shock"
"BEARVC",1993,"Shock"
"BEARVC",1994,"Both"
"BEARVC",1995,NA
"BEARVC",1996,NA
"BEARVC",1997,"Shock"
"BEARVC",1998,"Shock"
"BEARVC",1999,"Shock"
"BEARVC",2000,"Shock"
"BEARVC",2001,"Shock"
"BEARVC",2002,"Both"
"BEARVC",2003,"Seine"
"BEARVC",2004,"Both"
"BEARVC",2005,"Shock"
"BEARVC",2006,"Shock"
"BEARVC",2007,"Shock"
"BEARVC",2008,"Shock"
"BEARVC",2009,"Shock"
"BEARVC",2010,"Shock"
"BEARVC",2011,"Shock"
"BEARVC",2012,"Shock"
"BEARVC",2013,"Shock"
"BEARVC",2014,"Shock"
"BEARVC",2015,"Shock"
"BEARVC",2016,"Shock"
"BEARVC",2017,"Shock"
"BEARVC",2018,"Shock"
"BEARVC",2019,"Shock"
"BEARVC",2020,NA
"BEARVC",2021,"Shock"
"BEARVC",2022,"Both"
"BEARVC",2023,"Both"
"BEARVC",2024,NA
"BEARVC",1992,"Shock"
"BEARVC",1993,"Shock"
"BEARVC",1994,"Both"
"BEARVC",1995,NA
"BEARVC",1996,NA
"BEARVC",1997,"Shock"
"BEARVC",1998,"Shock"
"BEARVC",1999,"Shock"
"BEARVC",2000,"Shock"
"BEARVC",2001,"Shock"
"BEARVC",2002,"Both"
"BEARVC",2003,"Seine"
"BEARVC",2004,"Both"
"BEARVC",2005,"Shock"
"BEARVC",2006,"Shock"
"BEARVC",2007,"Shock"
"BEARVC",2008,"Shock"
"BEARVC",2009,"Shock"
"BEARVC",2010,"Shock"
"BEARVC",2011,"Shock"
"BEARVC",2012,"Shock"
"BEARVC",2013,"Shock"
"BEARVC",2014,"Shock"
"BEARVC",2015,"Shock"
"BEARVC",2016,"Shock"
"BEARVC",2017,"Shock"
"BEARVC",2018,"Shock"
"BEARVC",2019,"Shock"
"BEARVC",2020,NA
"BEARVC",2021,"Shock"
"BEARVC",2022,"Both"
"BEARVC",2023,"Both"
"BEARVC",2024,NA
"BEARVC",1992,"Shock"
"BEARVC",1993,"Shock"
"BEARVC",1994,"Both"
"BEARVC",1995,NA
"BEARVC",1996,NA
"BEARVC",1997,"Shock"
"BEARVC",1998,"Shock"
"BEARVC",1999,"Shock"
"BEARVC",2000,"Shock"
"BEARVC",2001,"Shock"
"BEARVC",2002,"Both"
"BEARVC",2003,"Seine"
"BEARVC",2004,"Both"
"BEARVC",2005,"Shock"
"BEARVC",2006,"Shock"
"BEARVC",2007,"Shock"
"BEARVC",2008,"Shock"
"BEARVC",2009,"Shock"
"BEARVC",2010,"Shock"
"BEARVC",2011,"Shock"
"BEARVC",2012,"Shock"
"BEARVC",2013,"Shock"
"BEARVC",2014,"Shock"
"BEARVC",2015,"Shock"
"BEARVC",2016,"Shock"
"BEARVC",2017,"Shock"
"BEARVC",2018,"Shock"
"BEARVC",2019,"Shock"
"BEARVC",2020,NA
"BEARVC",2021,"Shock"
"BEARVC",2022,"Both"
"BEARVC",2023,"Both"
"BEARVC",2024,NA
"BIG2C",1992,"Shock"
"BIG2C",1993,"Shock"
"BIG2C",1994,"Shock"
"BIG2C",1995,NA
"BIG2C",1996,NA
"BIG2C",1997,NA
"BIG2C",1998,"Shock"
"BIG2C",1999,"Shock"
"BIG2C",2000,NA
"BIG2C",2001,"Shock"
"BIG2C",2002,"Shock"
"BIG2C",2003,"Shock"
"BIG2C",2004,"Shock"
"BIG2C",2005,"Shock"
"BIG2C",2006,"Shock"
"BIG2C",2007,"Shock"
"BIG2C",2008,"Shock"
"BIG2C",2009,"Shock"
"BIG2C",2010,"Shock"
"BIG2C",2011,"Shock"
"BIG2C",2012,"Shock"
"BIG2C",2013,"Shock"
"BIG2C",2014,"Shock"
"BIG2C",2015,"Shock"
"BIG2C",2016,"Shock"
"BIG2C",2017,"Shock"
"BIG2C",2018,"Shock"
"BIG2C",2019,"Shock"
"BIG2C",2020,NA
"BIG2C",2021,NA
"BIG2C",2022,NA
"BIG2C",2023,NA
"BIG2C",2024,NA
"BIG2C",1992,"Shock"
"BIG2C",1993,"Shock"
"BIG2C",1994,"Shock"
"BIG2C",1995,NA
"BIG2C",1996,NA
"BIG2C",1997,NA
"BIG2C",1998,"Shock"
"BIG2C",1999,"Shock"
"BIG2C",2000,NA
"BIG2C",2001,"Shock"
"BIG2C",2002,"Shock"
"BIG2C",2003,"Shock"
"BIG2C",2004,"Shock"
"BIG2C",2005,"Shock"
"BIG2C",2006,"Shock"
"BIG2C",2007,"Shock"
"BIG2C",2008,"Shock"
"BIG2C",2009,"Shock"
"BIG2C",2010,"Shock"
"BIG2C",2011,"Shock"
"BIG2C",2012,"Shock"
"BIG2C",2013,"Shock"
"BIG2C",2014,"Shock"
"BIG2C",2015,"Shock"
"BIG2C",2016,"Shock"
"BIG2C",2017,"Shock"
"BIG2C",2018,"Shock"
"BIG2C",2019,"Shock"
"BIG2C",2020,NA
"BIG2C",2021,NA
"BIG2C",2022,NA
"BIG2C",2023,NA
"BIG2C",2024,NA
"BIGC",1992,"Shock"
"BIGC",1993,"Shock"
"BIGC",1994,"Both"
"BIGC",1995,NA
"BIGC",1996,NA
"BIGC",1997,NA
"BIGC",1998,"Shock"
"BIGC",1999,"Shock"
"BIGC",2000,NA
"BIGC",2001,NA
"BIGC",2002,"Both"
"BIGC",2003,"Shock"
"BIGC",2004,"Both"
"BIGC",2005,"Shock"
"BIGC",2006,"Shock"
"BIGC",2007,"Shock"
"BIGC",2008,"Shock"
"BIGC",2009,"Shock"
"BIGC",2010,"Shock"
"BIGC",2011,"Shock"
"BIGC",2012,"Shock"
"BIGC",2013,"Shock"
"BIGC",2014,"Shock"
"BIGC",2015,"Shock"
"BIGC",2016,"Shock"
"BIGC",2017,"Both"
"BIGC",2018,"Shock"
"BIGC",2019,"Shock"
"BIGC",2020,NA
"BIGC",2021,"Shock"
"BIGC",2022,NA
"BIGC",2023,NA
"BIGC",2024,NA
"CAMASC",1992,"Shock"
"CAMASC",1993,"Shock"
"CAMASC",1994,"Both"
"CAMASC",1995,NA
"CAMASC",1996,NA
"CAMASC",1997,NA
"CAMASC",1998,NA
"CAMASC",1999,"Shock"
"CAMASC",2000,NA
"CAMASC",2001,NA
"CAMASC",2002,"Shock"
"CAMASC",2003,"Shock"
"CAMASC",2004,"Shock"
"CAMASC",2005,"Shock"
"CAMASC",2006,"Shock"
"CAMASC",2007,"Shock"
"CAMASC",2008,"Shock"
"CAMASC",2009,"Shock"
"CAMASC",2010,"Shock"
"CAMASC",2011,NA
"CAMASC",2012,"Shock"
"CAMASC",2013,"Shock"
"CAMASC",2014,"Shock"
"CAMASC",2015,"Shock"
"CAMASC",2016,"Shock"
"CAMASC",2017,NA
"CAMASC",2018,NA
"CAMASC",2019,"Shock"
"CAMASC",2020,NA
"CAMASC",2021,NA
"CAMASC",2022,NA
"CAMASC",2023,NA
"CAMASC",2024,NA
"CAPEHC",1992,"Shock"
"CAPEHC",1993,NA
"CAPEHC",1994,"Both"
"CAPEHC",1995,NA
"CAPEHC",1996,NA
"CAPEHC",1997,NA
"CAPEHC",1998,"Shock"
"CAPEHC",1999,"Shock"
"CAPEHC",2000,NA
"CAPEHC",2001,NA
"CAPEHC",2002,"Both"
"CAPEHC",2003,"Shock"
"CAPEHC",2004,"Shock"
"CAPEHC",2005,"Shock"
"CAPEHC",2006,"Shock"
"CAPEHC",2007,"Shock"
"CAPEHC",2008,NA
"CAPEHC",2009,"Shock"
"CAPEHC",2010,"Shock"
"CAPEHC",2011,NA
"CAPEHC",2012,NA
"CAPEHC",2013,"Shock"
"CAPEHC",2014,"Shock"
"CAPEHC",2015,"Shock"
"CAPEHC",2016,"Shock"
"CAPEHC",2017,"Shock"
"CAPEHC",2018,NA
"CAPEHC",2019,"Shock"
"CAPEHC",2020,NA
"CAPEHC",2021,"Shock"
"CAPEHC",2022,"Shock"
"CAPEHC",2023,"Shock"
"CAPEHC",2024,NA
"CAPEHC",1992,"Shock"
"CAPEHC",1993,NA
"CAPEHC",1994,"Both"
"CAPEHC",1995,NA
"CAPEHC",1996,NA
"CAPEHC",1997,NA
"CAPEHC",1998,"Shock"
"CAPEHC",1999,"Shock"
"CAPEHC",2000,NA
"CAPEHC",2001,NA
"CAPEHC",2002,"Both"
"CAPEHC",2003,"Shock"
"CAPEHC",2004,"Shock"
"CAPEHC",2005,"Shock"
"CAPEHC",2006,"Shock"
"CAPEHC",2007,"Shock"
"CAPEHC",2008,NA
"CAPEHC",2009,"Shock"
"CAPEHC",2010,"Shock"
"CAPEHC",2011,NA
"CAPEHC",2012,NA
"CAPEHC",2013,"Shock"
"CAPEHC",2014,"Shock"
"CAPEHC",2015,"Shock"
"CAPEHC",2016,"Shock"
"CAPEHC",2017,"Shock"
"CAPEHC",2018,NA
"CAPEHC",2019,"Shock"
"CAPEHC",2020,NA
"CAPEHC",2021,"Shock"
"CAPEHC",2022,"Shock"
"CAPEHC",2023,"Shock"
"CAPEHC",2024,NA
"CHAMBC",1992,NA
"CHAMBC",1993,"Shock"
"CHAMBC",1994,"Shock"
"CHAMBC",1995,NA
"CHAMBC",1996,NA
"CHAMBC",1997,NA
"CHAMBC",1998,NA
"CHAMBC",1999,NA
"CHAMBC",2000,NA
"CHAMBC",2001,NA
"CHAMBC",2002,"Shock"
"CHAMBC",2003,"Shock"
"CHAMBC",2004,"Shock"
"CHAMBC",2005,NA
"CHAMBC",2006,"Shock"
"CHAMBC",2007,NA
"CHAMBC",2008,"Shock"
"CHAMBC",2009,"Shock"
"CHAMBC",2010,"Shock"
"CHAMBC",2011,"Shock"
"CHAMBC",2012,"Shock"
"CHAMBC",2013,"Shock"
"CHAMBC",2014,"Shock"
"CHAMBC",2015,"Shock"
"CHAMBC",2016,"Shock"
"CHAMBC",2017,NA
"CHAMBC",2018,"Shock"
"CHAMBC",2019,"Shock"
"CHAMBC",2020,NA
"CHAMBC",2021,"Shock"
"CHAMBC",2022,NA
"CHAMBC",2023,NA
"CHAMBC",2024,NA
"CHAMWF",1992,"Seine"
"CHAMWF",1993,"Seine"
"CHAMWF",1994,"Seine"
"CHAMWF",1995,NA
"CHAMWF",1996,NA
"CHAMWF",1997,NA
"CHAMWF",1998,NA
"CHAMWF",1999,NA
"CHAMWF",2000,NA
"CHAMWF",2001,"Seine"
"CHAMWF",2002,"Seine"
"CHAMWF",2003,"Seine"
"CHAMWF",2004,"Seine"
"CHAMWF",2005,"Seine"
"CHAMWF",2006,"Seine"
"CHAMWF",2007,NA
"CHAMWF",2008,"Seine"
"CHAMWF",2009,"Seine"
"CHAMWF",2010,"Seine"
"CHAMWF",2011,"Seine"
"CHAMWF",2012,"Seine"
"CHAMWF",2013,"Seine"
"CHAMWF",2014,"Seine"
"CHAMWF",2015,"Seine"
"CHAMWF",2016,"Shock"
"CHAMWF",2017,NA
"CHAMWF",2018,NA
"CHAMWF",2019,"Shock"
"CHAMWF",2020,NA
"CHAMWF",2021,NA
"CHAMWF",2022,NA
"CHAMWF",2023,NA
"CHAMWF",2024,NA
"SALREF",1992,"Shock"
"SALREF",1993,"Shock"
"SALREF",1994,"Shock"
"SALREF",1995,NA
"SALREF",1996,NA
"SALREF",1997,NA
"SALREF",1998,NA
"SALREF",1999,"Shock"
"SALREF",2000,NA
"SALREF",2001,NA
"SALREF",2002,NA
"SALREF",2003,NA
"SALREF",2004,NA
"SALREF",2005,NA
"SALREF",2006,NA
"SALREF",2007,NA
"SALREF",2008,NA
"SALREF",2009,NA
"SALREF",2010,NA
"SALREF",2011,NA
"SALREF",2012,NA
"SALREF",2013,NA
"SALREF",2014,NA
"SALREF",2015,NA
"SALREF",2016,NA
"SALREF",2017,NA
"SALREF",2018,NA
"SALREF",2019,NA
"SALREF",2020,NA
"SALREF",2021,NA
"SALREF",2022,NA
"SALREF",2023,NA
"SALREF",2024,NA
"ELKC",1992,"Shock"
"ELKC",1993,"Shock"
"ELKC",1994,"Both"
"ELKC",1995,NA
"ELKC",1996,NA
"ELKC",1997,"Shock"
"ELKC",1998,"Shock"
"ELKC",1999,"Shock"
"ELKC",2000,"Shock"
"ELKC",2001,"Both"
"ELKC",2002,"Both"
"ELKC",2003,"Both"
"ELKC",2004,"Both"
"ELKC",2005,"Both"
"ELKC",2006,"Both"
"ELKC",2007,"Both"
"ELKC",2008,"Seine"
"ELKC",2009,"Both"
