Name,Ptagis_ID,Lat_NAD83,Lon_NAD83,COMID,Lat_m,Lon_m
Bear Valley Creek,BEARVC,44.42759,-115.33068,23519305,2537574.676,-1524559.92
Big Creek (lower),BIG2C,45.10339,-114.85398,23531915,2603786.066,-1472635.03
Big Creek (upper),BIGC,45.10133,-115.33079,23532105,2611042.433,-1509415.12
Camas Creek,CAMASC,44.8308,-114.50319,23532519,2568637.733,-1451455.36
Cape Horn Creek,CAPEHC,44.39616,-115.16938,23519461,2531414.859,-1512774.91
Chamberlain Creek,CHAMBC,45.37309,-115.18777,23540972,2638388.855,-1492339.4
W. F. Chamberlain,CHAMWF,45.38901,-115.19188,23540958,2640187.341,-1492299.69
Elk Creek,ELKC,44.41204,-115.37246,23519319,2536548.904,-1528160.03
Herd Creek,HERDC,44.14636,-114.2903,23479821,2490562.658,-1449548.25
Lake Creek,LAKEC,45.271,-115.9137,23551186,2638897.745,-1550346.9
Loon Creek,LOONC,44.60164,-114.80674,23519801,2548292.44,-1479974.63
Marsh Creek,MARSHC,44.39616,-115.16938,23519459,2531566.64,-1512713.98
South Fork Salmon River,SALRSF,44.65359,-115.70233,23551438,2568229.097,-1548271.92
Secesh River,SECESR,45.21222,-115.80907,23551160,2630799.626,-1543672.53
Sulphur Creek,SULFUC,44.53451,-115.35868,23519209,2549689.582,-1524327.88
Valley Creek,VALEYC,44.2531,-115.00476,23478975,2513331.915,-1503064.84
